y_true,WDNN_prob,WDNN_pred,fWDNN_prob,fWDNN_pred,RF_prob,RF_pred,LR_prob,LR_pred,SVM_prob,SVM_pred,lightGBM_prob,lightGBM_pred,label
0.0,0.9933781,1,0.9720777,1,0.48,0.0,0.9739692115857793,1.0,0.7165335537276104,1.0,0.23033661425594917,0.0,EUCASTv11_MER
0.0,0.38565004,0,0.971502,1,0.59,1.0,0.17672428070926466,0.0,0.4508798821520634,0.0,0.5299020612325118,1.0,EUCASTv11_MER
0.0,0.92713463,1,0.94401306,1,0.54,1.0,0.573440635953855,1.0,0.5169357015590851,0.0,0.7183336108650297,1.0,EUCASTv11_MER
1.0,0.9978637,1,0.999947,1,0.98,1.0,0.9957695722878223,1.0,0.7154645212982894,1.0,0.9978996334211804,1.0,EUCASTv11_MER
0.0,0.83371174,1,0.9975895,1,0.65,1.0,0.9509408689748677,1.0,0.7083722524611319,1.0,0.3714553157801868,0.0,EUCASTv11_MER
0.0,0.77638984,1,0.9907533,1,0.64,1.0,0.8285864393030826,1.0,0.6888020879361205,1.0,0.7939633588233973,1.0,EUCASTv11_MER
1.0,0.9843246,1,0.99982715,1,0.91,1.0,0.9803759225965636,1.0,0.7119166740870817,1.0,0.9884323471753237,1.0,EUCASTv11_MER
0.0,0.93971574,1,0.008691549,0,0.42,0.0,0.3551861745970296,0.0,0.5213206769509492,0.0,0.26308263430572504,0.0,EUCASTv11_MER
1.0,1.0799834e-05,0,0.99859476,1,0.79,1.0,0.8644887472731999,1.0,0.7035365778392261,1.0,0.8193877573837252,1.0,EUCASTv11_MER
0.0,0.53538465,1,0.06279233,0,0.4,0.0,0.6431778401284471,1.0,0.5709269335724798,1.0,0.35385342435314376,0.0,EUCASTv11_MER
0.0,0.9978322,1,0.97533226,1,0.56,1.0,0.9886482531908488,1.0,0.7811886013136331,1.0,0.32170192854732776,0.0,EUCASTv11_MER
1.0,0.8511977,1,0.99932814,1,0.76,1.0,0.9014206265479944,1.0,0.5637031638128439,1.0,0.7912102758635203,1.0,EUCASTv11_MER
1.0,0.9996239,1,0.99361014,1,0.67,1.0,0.9757624270808561,1.0,0.6928797952801548,1.0,0.9257837354113461,1.0,EUCASTv11_MER
1.0,0.99984205,1,0.999933,1,0.92,1.0,0.999481101854877,1.0,0.8157685831535428,1.0,0.9956588768777687,1.0,EUCASTv11_MER
0.0,0.99999535,1,0.9999417,1,0.83,1.0,0.9999871216536552,1.0,0.8842483664432103,1.0,0.9361687717174788,1.0,EUCASTv11_MER
1.0,0.99347425,1,0.9999414,1,0.92,1.0,0.9130320330690215,1.0,0.562862483998433,1.0,0.9730988533437536,1.0,EUCASTv11_MER
0.0,0.9480642,1,0.005123168,0,0.45,0.0,0.6897898755490061,1.0,0.5329531968600114,0.0,0.7542105306259675,1.0,EUCASTv11_MER
1.0,0.99999416,1,0.99849534,1,0.78,1.0,0.9998809000828245,1.0,0.8317065743816918,1.0,0.9782749040224379,1.0,EUCASTv11_MER
0.0,0.03599164,0,0.000116197996,0,0.15,0.0,0.00673331332124801,0.0,0.2902596502888196,0.0,0.013257224917767443,0.0,EUCASTv11_MER
0.0,0.027555525,0,0.04504642,0,0.31,0.0,0.17499986379192875,0.0,0.5151679446585172,0.0,0.034899015875260744,0.0,EUCASTv11_MER
0.0,0.41254312,0,0.99968946,1,0.74,1.0,0.07627937474664895,0.0,0.3745153923526863,0.0,0.9402987105981012,1.0,EUCASTv11_MER
1.0,0.6208692,1,0.95792985,1,0.55,1.0,0.04069325432740609,0.0,0.4100259693267705,0.0,0.13200031248471106,0.0,EUCASTv11_MER
1.0,0.12586626,0,6.656698e-05,0,0.3,0.0,0.0658520978656487,0.0,0.5461270068974108,0.0,0.0789888545822865,0.0,EUCASTv11_MER
0.0,0.0024127364,0,0.0016431808,0,0.3,0.0,0.022343340889707193,0.0,0.4068376058144324,0.0,0.18100903005488392,0.0,EUCASTv11_MER
1.0,0.9999223,1,0.97672075,1,0.56,1.0,0.9986372149459173,1.0,0.8077466905483685,1.0,0.9037497902445103,1.0,EUCASTv11_MER
0.0,0.49628377,0,0.6742215,1,0.64,1.0,0.9041921158556867,1.0,0.6752000802414229,1.0,0.7329695250852734,1.0,EUCASTv11_MER
0.0,0.0037276745,0,0.0012920797,0,0.33,0.0,0.0010855591450718955,0.0,0.26674479978610255,0.0,0.007320799938440112,0.0,EUCASTv11_MER
1.0,0.16219062,0,0.9701859,1,0.65,1.0,0.8919638300943068,1.0,0.6510300182850404,1.0,0.8730543199636961,1.0,EUCASTv11_MER
1.0,0.84310454,1,0.10371724,0,0.37,0.0,0.0508324280255286,0.0,0.3625613504586649,0.0,0.3956857910609316,0.0,EUCASTv11_MER
1.0,0.9629656,1,0.021561235,0,0.36,0.0,0.3395396777366579,0.0,0.4746494636073459,0.0,0.37578421580867266,0.0,EUCASTv11_MER
1.0,0.98520887,1,0.9981098,1,0.46,0.0,0.9576131931778367,1.0,0.7266274834317199,1.0,0.8666339231291934,1.0,EUCASTv11_MER
0.0,0.13724706,0,0.51803017,1,0.5,0.0,0.4128808903079562,0.0,0.47258080680984743,0.0,0.5595884596582755,1.0,EUCASTv11_MER
1.0,0.9191309,1,0.6699337,1,0.5,0.0,0.5888921250521143,1.0,0.5256334166232092,0.0,0.6461994075994745,1.0,EUCASTv11_MER
0.0,0.84701526,1,0.715465,1,0.61,1.0,0.6053085635021477,1.0,0.5669445468836458,1.0,0.28599346375787227,0.0,EUCASTv11_MER
1.0,0.13956931,0,0.94474185,1,0.56,1.0,0.4951292976030805,0.0,0.5611323893636998,1.0,0.38046233978656757,0.0,EUCASTv11_MER
0.0,0.9974558,1,0.9378476,1,0.45,0.0,0.43309760237271516,0.0,0.4871946959460854,0.0,0.11995108163083948,0.0,EUCASTv11_MER
1.0,0.99900055,1,0.999911,1,0.97,1.0,0.9909218536917357,1.0,0.6605782765075234,1.0,0.9936667141959535,1.0,EUCASTv11_MER
0.0,0.7115795,1,0.112101644,0,0.45,0.0,0.08869974668904307,0.0,0.4309271177300344,0.0,0.13154793057545472,0.0,EUCASTv11_MER
0.0,0.533188,1,0.0059939325,0,0.24,0.0,0.03587834743791211,0.0,0.3479422974719202,0.0,0.008078536769499479,0.0,EUCASTv11_MER
1.0,0.999964,1,0.99972,1,0.92,1.0,0.9993344197948612,1.0,0.8170676568557275,1.0,0.9972322062270849,1.0,EUCASTv11_MER
0.0,0.9985325,1,0.082125664,0,0.42,0.0,0.8533634671118869,1.0,0.674369731780533,1.0,0.47599528088432025,0.0,EUCASTv11_MER
1.0,0.9840759,1,0.99990773,1,0.96,1.0,0.9384180150673398,1.0,0.6473552824295468,1.0,0.9856302412155319,1.0,EUCASTv11_MER
1.0,0.9997132,1,0.99993414,1,1.0,1.0,0.9892619840834959,1.0,0.7129141855249961,1.0,0.9893106728030212,1.0,EUCASTv11_MER
0.0,0.00069597363,0,0.0025109053,0,0.41,0.0,0.005397818538204218,0.0,0.2849622084019267,0.0,0.12412424041230974,0.0,EUCASTv11_MER
